,index,site_y,product,product_price,review_header,reviewer_name,review_content,review_star_rating,review_helpful_votes,review_polarity,review_subjectivity,review_length,total_star_rating,prod_subjectivity,pred_useful,rank
10,5860,bestbuy,JBL - Flip 5 Portable Bluetooth Speaker - Black,89.99,Good but only for a small room,Ashu,The beats are good and battery lasts for a long time. Not suited for out door. Compact and very easy to carry,3,0,0.277222222,0.666666667,22.0,4.8,0.3508503401360544,1,11
11,9870,amazon,"e.l.f. O Face Satin Lipstick, Richly Pigmented, Nourishing & Long-Lasting Creamy Lipstick, Infused With Jojoba, Vegan & Cruelty-Free, No Regrets",9.0,,Consumer,A very wearable color.,5,0,0.2,0.3,4.0,4.4,0.4776455026455026,1,12
12,10569,amazon,"LEYAOYAO Cube Bookshelf 3 Tier Mid-Century Rustic Brown Modern Bookcase with Legs,Retro Wood Bookshelves Storage Organizer Shelf,Freestanding Open Book Shelves for Bedroom,Living Room,Office",99.98,BEWARE,Bradley Williams,Very low quality shelf and the dimensions are misrepresented in the description. Do not waste your money.,1,0,0.05,0.195,17.0,4.5,0.5344227994227995,1,13
13,8140,bestbuy,"LG - 65"" Class C3 Series OLED 4K UHD Smart webOS TV",1599.99,Great Mid Tier TV!,KenR,"Very Happy with the C series OLEDs from LG. I have been using base level TVs for a long time prior but after picking up the C1 some years back I can see where the extra money takes you. The C3 is a very welcome and happy addition to the household and of course offers incremental improvements over the C1 generation. 

If you like high contrast, sharp images and enjoy watching tv in dimmer environments, it does get much better for the money IMO.",5,0,0.252333333,0.502666667,84.0,4.8,0.4303401360544217,1,14
14,3595,bestbuy,Samsung - Galaxy S22 Ultra 128GB - Phantom Black (Verizon),1199.99,HEAT HEAT AND OVER HEAT,JuanM,"This phone is fancy have a lot of apps and the photo editor is amazing sorry that the Note does not have that app us different, here the main issue HEATTTTTTTT gets Hot like a electric skillet so the battery will not reach the longevity that promotes i cant beleive how this phone doesn't have the same tech that the notes models , notes doesn't have over heat situation this is why i gave 2 star",2,0,0.086111111,0.634722222,76.0,4.6,0.4801500721500721,1,15
15,8455,bestbuy,Hogwarts Legacy Standard Edition - Xbox Series X,44.99,Amazing,Jesus,Amazing service and quality for this iphone 13!!!!,5,0,0.8,0.9,8.0,4.8,0.4047023809523811,1,16
16,2403,Target,GE JES1460DSBB 1.4 Cu. Ft. Black Counter Top Microwave,190.1,Easy to use,Chicklet,This is identical to the other GE microwave purchased 3 years ago. I like it.,5,0,0.154166667,0.604166667,15.0,4.4,0.3945085778419112,1,17
17,11428,Target,Igloo IMX 24qt Cooler - Meteorite,94.99,IMX 24 Qt Cooler - well worth it,Stew,Works great - holds the ice for a long time. Used it on a HOT day on beach and it didnt break a sweat,5,0,0.325,0.525,24.0,4.3,0.5530864197530863,1,18
18,11733,Target,Igloo IMX 24qt Cooler - Meteorite,94.99,This is an awesome cooler!,Daniel D.,This is an awesome cooler! Great feel and very durable. I got a little bit less than the suggest time for how long it held ice but it was still amazing.,4,0,0.399479167,0.614583333,31.0,4.3,0.5530864197530863,1,19
19,8303,bestbuy,"LG - 65"" Class C3 Series OLED 4K UHD Smart webOS TV",1599.99,C3 best purchase!!,TravisH,I dont regret buying the c3 at all so far one month in. Colors pop wonderfully and the tv can get really bright.,5,0,0.7,0.775,23.0,4.8,0.4303401360544217,1,20
20,4240,bestbuy,HP - DeskJet 2755e Wireless Inkjet Printer with 3 months of Instant Ink Included with HP+ - White,49.99,Pronter,Natem6,Great lottle printer wanted one in store but sales lady found thisnone on lije was cheaper and had nore options. Has multiple options and free ink.up to 6 monthd of use.,5,0,0.4,0.516666667,31.0,4.1,0.4801345755693582,1,21
21,9271,amazon,Mario Kart 8 Deluxe - US Version,39.99,Had to return,Kelsey Cole,"The game worked for one session. After that, it would not read the game card. Wish I would've looked at reviews beforehand. Seems to be a common occurrence. My birthday boy was sad.",1,0,-0.4,0.575,33.0,4.9,0.3885281385281385,1,22
22,10718,amazon,"Best Choice Products Upholstered Sectional Sofa for Home, Apartment, Dorm, Bonus Room, Compact Spaces w/Chaise Lounge, 3-Seat, L-Shape Design, Reversible Ottoman Bench, 680lb Capacity - Blue/Gray",359.99,Small and cute!,MP,"Very cute and small, fits perfectly in our small living room. Thinking of ordering another.",4,0,0.254166667,0.7,15.0,4.0,0.4985294117647059,1,23
23,9831,amazon,Dyson Ball Animal 3 Extra Upright Vacuum Cleaner,399.0,Biggest hunk of over-engineered junk,mcz,"The only thing that it does well is pivot while youre doing classic vacuuming. The hose and attachments are cumbersome  the hose constantly under so much tension it fights you to reach whatever you want to reach. The locking mechanism for standing position is flimsy, ours constantly falls over after you think its stable and you can walk away. And why does ANYONE think a bagless canister makes any sense? Ive got more dust in and around my kitchen trash bin because a lot of the dust is light enough to float away. Cleaning the filters generates more dust and wastes water. Dyson is an overhyped brand with this model probably the best example of engineers designing in another kind of vacuum rather than understanding really how people clean their homes.",1,0,0.248333333,0.422222222,132.0,4.4,0.450384024577573,1,24
24,11454,Target,Igloo IMX 24qt Cooler - Meteorite,94.99,Awesome Cooler,Erik Z,Solid build! A must have when grilling BBQ. 24 cans fit perfectly,5,0,0.6,0.625,12.0,4.3,0.5530864197530863,1,25
25,3981,bestbuy,Samsung - Galaxy S22 Ultra 128GB - Phantom Black (Verizon),1199.99,Great phone,ThomasT,1st time buying a Samsung Galaxy Great phone. Would be 5 stars but the battery doesn't last all day when watching videos or playing music.,4,0,0.533333333,0.522222222,25.0,4.6,0.4801500721500721,1,26
26,3761,bestbuy,HP - DeskJet 2755e Wireless Inkjet Printer with 3 months of Instant Ink Included with HP+ - White,49.99,Nice home printer!,Leighbird,Great price!Works well. Wish it printed double sided without having to flip the page.,4,0,0.516666667,0.583333333,14.0,4.1,0.4801345755693582,1,27
27,6398,bestbuy,"Microsoft - 365 Family (Up to 6 People) (12-Month Subscription) - Activation Required - Windows, Mac OS, Apple iOS, Android [Digital]",99.99,Love this product,Wonderful,"Great product, was emailed to me quickly. I love that Im able to share it with my family or on several of my devices.",5,0,0.46,0.515,24.0,4.5,0.4601818181818181,1,28
28,708,Target,Apple iPhone 14,0.0,I phone 14,Julie,"Online purchasing was down for several days, but after it was working I had no issues.",5,0,-0.077777778,0.144444444,16.0,4.4,0.4134481460568416,1,29
29,2444,Target,GE JES1460DSBB 1.4 Cu. Ft. Black Counter Top Microwave,190.1,Easy to set up and use,Gravedigger272,Works better than I thought it would. Would have bought another brand but liked this one.,5,0,0.511111111,0.711111111,16.0,4.4,0.3945085778419112,1,30
30,10436,amazon,"LEYAOYAO Cube Bookshelf 3 Tier Mid-Century Rustic Brown Modern Bookcase with Legs,Retro Wood Bookshelves Storage Organizer Shelf,Freestanding Open Book Shelves for Bedroom,Living Room,Office",99.98,Good value,Joseph,Assembly Instructions worked out. Sturdy enough. The wood-like wrapping is a little fragile but held well enough. Just don't be rough on it.,4,0,0.06875,0.5,23.0,4.5,0.5344227994227995,1,31
31,62,amazon,"Renewed Samsung Galaxy S22 Ultra 512GB - 8K Camera, S Pen, Long Battery, Fast Processor, Phantom Black",619.5,"Everything appeared to work, except the speaker.",BrianPaul,"Phone looks decent, rated excellent but there was a little bit of wear and tear on the body. Screen looked perfect and I was satisfied with the purchase until I got the phone setup and realized the speaker was blown. Music and sounds cause it to rattle and buzz and can't hear people when on calls. Seller approved return no problem, just bummed I have to try and gamble on another refurb. I've bought refurbished phones off Amazon for nearly 10 years and it used to always be a good deal, recently I've had to return multiple phones because they were either rated incorrectly or were not in fact fully working phones.",1,0,0.364351852,0.601851852,112.0,4.2,0.3628571428571429,1,32
32,11750,Target,Igloo IMX 24qt Cooler - Meteorite,94.99,IMX 24 Qt. Igloo Cooler,,"Great cooler! As good as its competitors, but at a much lower cost!",5,0,0.65,0.516666667,13.0,4.3,0.5530864197530863,1,33
33,3431,Target,Doritos Nacho Cheese Flavored Tortilla Chips - 14.5oz,6.69,Love those doritos,,Our favorite Nacho chips - can't wait to open and eat!,5,0,0.333333333,0.7,11.0,4.8,0.6818181818181818,1,34
34,3814,bestbuy,HP - DeskJet 2755e Wireless Inkjet Printer with 3 months of Instant Ink Included with HP+ - White,49.99,Good value,Satisfied,Very nice printer for the price. Colors are very good and set up was a breeze.,4,0,0.796666667,0.793333333,16.0,4.1,0.4801345755693582,1,35
35,1822,Target,Razor 24V MX350 Dirt Rocket Electric Powered Ride-On Bike - Blue,329.99,surprisingly solid but it's small,w04l,"I don't know why it says ages 13+ because my 7 year old is too big for it. Other than the size/age being misleading, it's surprisingly well made and solid. Definitely worth the $250 but my kid won't be riding it very long because of the size.",4,0,0.073333333,0.266111111,47.0,4.1,0.4484788359788359,1,36
36,11270,Target,"Ninja Woodfire Pizza Oven, 8-in-1 Outdoor Oven, 5 Pizza Settings, Smoker, Ninja Woodfire Technology, Electric - OO101",399.99,2nd ninja wood fire.,Debbie N,2 nd Woodfire ninja with a month and a half not working,1,0,-0.083333333,0.083333333,12.0,4.7,0.4839813311688312,1,37
37,4922,bestbuy,JBL - Flip 5 Portable Bluetooth Speaker - Black,89.99,Great sound!,CherylG,This was a gift for a friend who was going on a trip with his best bud. He absolutely loved the sound. He says it's nice and loud. Thumbs up for this item!,5,0,0.589285714,0.635714286,33.0,4.8,0.3508503401360544,1,38
38,10202,amazon,"Revlon Illuminance Skin-Caring Liquid Foundation, Hyaluronic Acid, Hydrating and Nourishing Formula with Medium Coverage, 201 Creamy Natural (Pack of 1)",13.48,Too light,SPARKY0210,"I have blond hair, blue eyes and light skin color. I got the light beige liquid foundation and I find it too bright and it does not blend into my skin tone at all. I was hoping to mainly use this on my dark circles on top of my concealer but it makes that area too white looking. I applied it under one eye only and compared it with the other eye, both eyes already had concealer applied and the eye area with the product was whiter looking than the other eye area. Other than that the foundation has a good silky feel to it.",3,0,0.195833333,0.49702381,105.0,4.2,0.4499999999999999,1,39
39,9212,amazon,Mario Kart 8 Deluxe - US Version,39.99,It's just boring.,Capt Awesome,"It's a simple, boring, redundant game. Screen splits vertically, so your field of vision is limited when you're playing two player. A horizontal split would be much better. My son and I played it for 30-45 minutes Christmas day and we haven't played it since.",2,0,-0.310204082,0.514285714,45.0,4.9,0.3885281385281385,1,40
40,9414,amazon,"Ninja Woodfire Pizza Oven, 8-in-1 outdoor oven, 5 Pizza Settings, Ninja Woodfire Technology, 700°F high heat, BBQ smoker, wood pellets, pizza stone, electric heat, portable, terracotta red, 9x13",349.99,Wonderful EASY Pizza Oven,TM,"I'm leaving my review on Amazon because, doesn't everyone look at Amazon for reviews before buying. I bought mine at the Big Box S club store (It was less and had the cover and pizza peel inc). Also note the price of these just dropped Everywhere (03-10-24)! Could there be a new model on the horizon?
This oven made fabulous pizza out of the Box (Heating it on Max for 30 min before starting Pizza setting). We got the take and bake pizza from California Pizza Kitchen for $8, Used the Neapolitan setting (with and without smoke depending on diners preference) and pulled it at 3 min or less getting a little edge char but the perfect crunchy base crust, melted but not burned cheese, and crispy edged pepperoni. We're not new to pizza ovens having had the Ooni gas oven for a few years but their volt(?) was more than I wanted to pay. This electric oven was as good as the gas version without the terror of an inferno that one has with early uses of the gas oven as well as no constant turning and babying the pizza. In fact you can't baby the pizza.. the door is closed and there's NO window!
We usually use our own dough and make our pizzas from scratch so we'll see how those are, but I'm expecting it will be great, and so much easier to do than before. Of course I'm also anxious to try the smoking feature etc and will update if there's anything to say about those.",5,0,0.157131094,0.509090909,258.0,4.6,0.486998556998557,1,41
41,7863,bestbuy,"Microsoft - 365 Family (Up to 6 People) (12-Month Subscription) - Activation Required - Windows, Mac OS, Apple iOS, Android [Digital]",99.99,Useless,Tommy,"I purchased Microsoft 365, when I tried to download  it I was getting an error saying I have used all of my entries. I called tech support and she still could not get it to download. Eventually she used one of the products codes I purchased previously and I was able to use word,excel. I still need to contact support when I get back in the states so we can clear this up.",1,0,-0.013333333,0.275,74.0,4.5,0.4601818181818181,1,42
42,10892,amazon,"Best Choice Products Upholstered Sectional Sofa for Home, Apartment, Dorm, Bonus Room, Compact Spaces w/Chaise Lounge, 3-Seat, L-Shape Design, Reversible Ottoman Bench, 680lb Capacity - Blue/Gray",359.99,DO NOT BUY THIS SOFA,simz,"cheap cushioning collapsed less than 6 months. Company will not refund or provide new foam and Amazon has been completely useless (so far). Sofa cost plus disposal almost $700. If you do buy it make sure you purchase the 2 year warranty so you can get reimbursed when you have to throw it out and you WILL have to throw it out.

STAY AWAY!",1,0,0.099116162,0.551683502,63.0,4.0,0.4985294117647059,1,43
43,616,amazon,"Crest Cavity & Tartar Protection Toothpaste, Whitening Baking Soda & Peroxide, 5.7 oz, Pack of 2",6.29,Mi favorita,Thatiana,Usualmente la pasta me da nauseas. Esta es diferente y no es tan fuerte y me deja bien limpia la dentadura,5,0,0.0,0.0,21.0,4.8,0.625,1,44
44,11574,Target,Igloo IMX 24qt Cooler - Meteorite,94.99,Great Cooler!,DawnGonz,Love this cooler! I purchased it for my husband's birthday gift and he loves it!,5,0,0.890625,0.675,15.0,4.3,0.5530864197530863,1,45
45,7907,bestbuy,"Microsoft - 365 Family (Up to 6 People) (12-Month Subscription) - Activation Required - Windows, Mac OS, Apple iOS, Android [Digital]",99.99,COMPLICATED,chris,I couldn't understand how to use it.  Very complicated. I had a Brother's Word Processor. It was the best.,1,0,-0.05,0.766666667,20.0,4.5,0.4601818181818181,1,46
46,12352,bestbuy,"Norton - 360 Deluxe (5 Device) Antivirus Internet Security Software + VPN + Dark Web Monitoring (1 Year Subscription) - Android, Mac OS, Windows, Apple iOS [Digital]",24.99,Not as good as once was,Reviewer123,"I had been purchasing Norton for many years, it was a top rated. The top rating has gone down, the push for their LifeLock plan has been annoying.  Also, from the reviews that I have read online, Norton is pushing their bitmining that is built in the app, though turned off by default. From what I'm reading, the bitmining portion is very difficult to uninstall.  I decided not to go with this product after purchasing for this reason and will be using a different anti-virus software that has higher reviews as well as none of the bloatware.",1,0,0.09382716,0.598765432,99.0,4.4,0.4782189677934357,1,47
47,10905,amazon,"Best Choice Products Upholstered Sectional Sofa for Home, Apartment, Dorm, Bonus Room, Compact Spaces w/Chaise Lounge, 3-Seat, L-Shape Design, Reversible Ottoman Bench, 680lb Capacity - Blue/Gray",359.99,"you only get part of the sofa. 2 boxes,, you only get one box.",Patty Jester,Not all here.,1,0,0.0,1.0,3.0,4.0,0.4985294117647059,1,48
48,7787,bestbuy,"Microsoft - 365 Family (Up to 6 People) (12-Month Subscription) - Activation Required - Windows, Mac OS, Apple iOS, Android [Digital]",99.99,Good product,Kids,"This is a good product, but does not work for the computer it was advertised that you might want to purchase. I used on my home computer but would not of purchased if I had known it wouldn't work on the laptop.",3,0,0.7,0.6,42.0,4.5,0.4601818181818181,1,49
49,7198,bestbuy,"Microsoft - 365 Family (Up to 6 People) (12-Month Subscription) - Activation Required - Windows, Mac OS, Apple iOS, Android [Digital]",99.99,Perfect!,Buckey,I use Office a lot so this resolves all my problems regarding word processing.,5,0,1.0,1.0,14.0,4.5,0.4601818181818181,1,50
50,4173,bestbuy,HP - DeskJet 2755e Wireless Inkjet Printer with 3 months of Instant Ink Included with HP+ - White,49.99,HP Printer 2755e,Bonnie,"This printer is a very good purchase. It took a bit to get the wireless to work, but after getting some good advice from the Geek Squad and purchasing a part I needed, it works grand. Takes up less space than my old one and is a lovely white which brightens up the room.",5,0,0.363333333,0.485238095,54.0,4.1,0.4801345755693582,1,51
51,371,amazon,"Hamilton Beach 24782 Retro Toaster with Wide Slots, Sure-Toast echnology, Bagel & Defrost Settings, Auto Boost to Lift Smaller Breads, 4 Slice, Polished Stainless Steel",49.98,Nice toaster,Luckygal3,Although I have not worked out all the Kinks due to my neglect not reading the book there's so much more of this toaster can do I have it to Quick drop in toast and get up and go worth the money,5,0,0.321666667,0.495,42.0,4.3,0.4109788359788359,1,52
52,4168,bestbuy,HP - DeskJet 2755e Wireless Inkjet Printer with 3 months of Instant Ink Included with HP+ - White,49.99,Printer designed by an idiot for idiots.,Bestbuycustomer,If you want this printer to work you better read the side of the box. The instructions failed to mention that an aps located on the side of the box had to be down loaded to either the printer or the computer. Geek squad Webroot is only available with their total tech support. I cancelled my total tech support and returned the printer. Good luck here.,1,0,-0.065555556,0.618888889,66.0,4.1,0.4801345755693582,1,53
53,10092,amazon,"Revlon Illuminance Skin-Caring Liquid Foundation, Hyaluronic Acid, Hydrating and Nourishing Formula with Medium Coverage, 201 Creamy Natural (Pack of 1)",13.48,Really like it,Amazon Customer,I bought this because everyone was talking about it. And I love it. Its a great change up foundation when youre skin starts to get flat from your regular foundation. Would recommend.,5,0,0.295,0.350384615,32.0,4.2,0.4499999999999999,1,54
54,8205,bestbuy,"LG - 65"" Class C3 Series OLED 4K UHD Smart webOS TV",1599.99,Decent upgrade from LG C9,Wolf,"Replaced a C9 via warranty. It's a nice upgrade. Not massive, but you can tell it can do highlights better and it tonemaps in general better to handle the brightness along with the physical limitations of the panel in terms of nits.

UI upgrades are nice and welcome. Only downside is forced ads that you can't turn off completely and 'ad tracking' among some other settings being enabled by default, that you have to dig in menus to disable. I don't use much apps on the TV as is but its annoying.

Overall, a nice upgrade. But not game-changing.",5,0,0.170098039,0.604971989,97.0,4.8,0.4303401360544217,1,55
55,10412,amazon,"LEYAOYAO Cube Bookshelf 3 Tier Mid-Century Rustic Brown Modern Bookcase with Legs,Retro Wood Bookshelves Storage Organizer Shelf,Freestanding Open Book Shelves for Bedroom,Living Room,Office",99.98,Satisfied,Louise Zhu Ly,"The smaller version of this bookshelf fit right into the space between my desk and wall. The feet for it were a little weird, but function fine. The hardest part in putting it together was the allen wrench almost stripped some of the screws because of how you have to put it together and unless youre assembling it on an elevated surface, it was difficult to screw in the screws closer to the floor.

Otherwise it fits well into my space, the color of the wood does look very natural, and it seems sturdy enough.",4,0,0.054488095,0.645571429,94.0,4.5,0.5344227994227995,1,56
56,8124,bestbuy,"LG - 65"" Class C3 Series OLED 4K UHD Smart webOS TV",1599.99,LG OLED is by far the best!,technologyconcierge,"Display feels so clear like you could reach into the screen and touch the people! LG is the clear front runner in OLED, HOWEVER their ""Magic Remote"" is anything but, the mouse like tracking is super confusing for people and really frustrating that you cannot disable it.",5,0,0.150925926,0.581481481,47.0,4.8,0.4303401360544217,1,57
57,10538,amazon,"LEYAOYAO Cube Bookshelf 3 Tier Mid-Century Rustic Brown Modern Bookcase with Legs,Retro Wood Bookshelves Storage Organizer Shelf,Freestanding Open Book Shelves for Bedroom,Living Room,Office",99.98,No Instructions,Amazon Customer,There were no assembly instructions included.,2,0,0.0,0.0,6.0,4.5,0.5344227994227995,1,58
58,146,amazon,"HP DeskJet 2755e Wireless Color inkjet-printer, Print, scan, copy, Easy setup, Mobile printing, Best-for home, Instant Ink with HP+,white",49.89,Nope. Don't do it.,Kimberly,"I was excited to find an affordable printer for my small business that seemed to fit the needs I have.
That excitement was short lived however.
It is about the most frustrating piece of equipment I've ever dealt with. The days of a printer that just PRINTS are apparently in the rear view mirror, everything with this thing was a hassle.
Set up, connecting to WiFi, connecting to laptop- you basically HAVE to use HPs ridiculous, slow, and glitchy app in order for it to ""work"".

This printer is(was) an absolute trash bag NIGHTMARE.
It worked fine about half the time, but required constant fussing with even then.
The other half the time it just didn't. :(
No reason given, just an error as I'm frantically trying to print labels to mail my products out.
Connected to WiFi, connected to phone/computer, it just says ""naaaaah"".
Guessing it has to do with the sleep mode that you can't turn off, but who knows? (Side note- who wants a dang sleep mode?! I don't care of it uses a little power to work when I want, sheesh!)

The instant ink subscription seems like a good deal at first, until you realize you're paying by pages you actually print, NOT for the ink.
After about the 100th time of me spending 45 mins trying to print a UPS label and not being able to for exactly zero reason, this piece of crap found out the hard way.
I quietly and calmly unplugged it, carried it gently out on the front porch of my store, and hulk smashed it down the solid stone steps into the parking lot. More glass in there than I thought. 

Hate to have wasted money, but it felt pretty good to office space this worthless piece of trash. I low-key wish I could put it back together so I could smash it again, I HATE THIS THING!
H A T E H A T E H A T E H A T E H A T E H A T E
I'll never, EVER, buy another HP product.
Not a printer, not a laptop, not even a pack of paper. I hope all the bad things of the world happen to whoever invented this particular piece of crap. Stub your toe forever, lose your wallet, your keys, have diarrhea. Blegh
I'm still so angry I'm vibrating, and now I get to go buy another printer so I can send out my clients purchases. Yay.",1,0,-0.064300711,0.530943152,399.0,4.1,0.594556277,1,59
59,266,amazon,"Microsoft 365 Family | 12-Month Subscription, Up to 6 People | Word, Excel, PowerPoint | 1TB OneDrive Cloud Storage | PC/MAC Instant Download | Activation Required",99.99,Did not receive license key!,Cornelis Gremmee,Not in digital gawes or software,1,0,0.0,0.5,6.0,4.4,0.5047619047619047,1,60
60,559,amazon,"Windex Glass and Window Cleaner Spray Bottle, New Packaging Designed to Prevent Leakage and Breaking, Original Blue, 23 fl oz",3.35,Works well,Amazon Customer,I dont want to have this item on reorder automatically,5,0,0.0,0.0,10.0,4.8,0.5416666666666666,1,61
61,6493,bestbuy,"Microsoft - 365 Family (Up to 6 People) (12-Month Subscription) - Activation Required - Windows, Mac OS, Apple iOS, Android [Digital]",99.99,A must need for working,miles5435,As always having programs to be able to prepare documents is necessary. The great thing about Office 365 is the continual updating of the software and syncing between devices.,5,0,0.433333333,0.791666667,29.0,4.5,0.4601818181818181,1,62
62,9261,amazon,Mario Kart 8 Deluxe - US Version,39.99,Item Never Arrived,Dang Tran,"This is such a good game for family, too bad I never not the game. It never arrived and I did not have the option to replace it. Now it's too late to buy it again. So disappointing.",1,0,-0.242857143,0.552380952,38.0,4.9,0.3885281385281385,1,63
63,7692,bestbuy,"Microsoft - 365 Family (Up to 6 People) (12-Month Subscription) - Activation Required - Windows, Mac OS, Apple iOS, Android [Digital]",99.99,great deal,trcy1p,This was easier than buying an office pkg for each computer.,5,0,0.8,0.75,11.0,4.5,0.4601818181818181,1,64
64,10836,amazon,"Best Choice Products Upholstered Sectional Sofa for Home, Apartment, Dorm, Bonus Room, Compact Spaces w/Chaise Lounge, 3-Seat, L-Shape Design, Reversible Ottoman Bench, 680lb Capacity - Blue/Gray",359.99,Its an ok couch.,Bethany,I used it for the living room. It was iight.,3,0,0.5,0.5,10.0,4.0,0.4985294117647059,1,65
65,10497,amazon,"LEYAOYAO Cube Bookshelf 3 Tier Mid-Century Rustic Brown Modern Bookcase with Legs,Retro Wood Bookshelves Storage Organizer Shelf,Freestanding Open Book Shelves for Bedroom,Living Room,Office",99.98,cute but cheap,Amazon Customer,"i really liked the look of this bookcase, which was the determining factor in my purchase- but buyers be warned... you can get a bookshelf of equivalent (possibly better) quality for half the price at walmart. this bookshelf is very cute, but the quality and materials (plastic and particle board) are just not worth the money and the unit is not sturdy at all. don't waste your money.",3,0,0.266666667,0.533333333,68.0,4.5,0.5344227994227995,1,66
66,3982,bestbuy,Samsung - Galaxy S22 Ultra 128GB - Phantom Black (Verizon),1199.99,The S22 Ultra is large and in charge,Katie,"I upgraded to the S22 Ultra from the S10.  For what I use my phone for (email, texts, internet, a few apps), not much has changed, but for me, that's a good thing. One difference I appreciate, though, is the much larger screen size. I'm not sure I will ever want to go back to a smaller screen.  The phone comes with a stylus, which I haven't had a use for in the 3 weeks since I bought it.  The camera is apparently a lot better than the S10 (with a 100x zoom), but I haven't played with it much. I have noticed that photos show greater detail in the texture of things with this camera.  The S22 Ultra has a variable refresh rate, which is designed to save on battery, but I haven't really noticed my battery lasing longer than usual. I can go the whole day without needing to charge it, but that's typical for a new phone, in my experience. Lastly, I love the burgandy color!  Samsung is a great phone--you can't go wrong buying one.",5,0,0.132949134,0.441100289,184.0,4.6,0.4801500721500721,1,67
67,2194,Target,GE JES1460DSBB 1.4 Cu. Ft. Black Counter Top Microwave,190.1,love all the features,GGram,so happy I bought the GE Microwave. Have had two months,5,0,0.65,0.8,11.0,4.4,0.3945085778419112,1,68
68,10725,amazon,"Best Choice Products Upholstered Sectional Sofa for Home, Apartment, Dorm, Bonus Room, Compact Spaces w/Chaise Lounge, 3-Seat, L-Shape Design, Reversible Ottoman Bench, 680lb Capacity - Blue/Gray",359.99,Quick shipping,Tiff,"Shipped quickly ,very easy too put together but the pillows are somewhat flat aside from that I have no complaints",4,0,0.290555556,0.541666667,20.0,4.0,0.4985294117647059,1,69
69,12166,bestbuy,"Norton - 360 Deluxe (5 Device) Antivirus Internet Security Software + VPN + Dark Web Monitoring (1 Year Subscription) - Android, Mac OS, Windows, Apple iOS [Digital]",24.99,Great virus protection packet,Lora,Easy setup.  Great way to get virus protection.  Got it 2 years in a row.  Alerts before using dangerous websites.  Great price to protect 5 devises.,5,0,0.446666667,0.796666667,30.0,4.4,0.4782189677934357,1,70
