,index,site_y,product,product_price,review_header,reviewer_name,review_content,review_star_rating,review_helpful_votes,pred_useful
10,11369,Target,Igloo IMX 24qt Cooler - Meteorite,94.99,It's Okay!,,"I only gave this cooler 2 stars because it won't hold ice more than 2 days and the cable on the drain plug makes it hard to get the plug off or back on and the first week I had it, it broke off the plug so now no safety cable on the plug. I would give the over all look of this cooler a 5, this thing looks tough and rigid and it really is for the most part. I like the what I call the sandwhich basket it comes with as well to store food to keep cold and dry. I like the rubber latches, they strap the lid down great and keep it closed, I noticed Yeti did away this and not sure why because it's a great feature so great job igloo. I also like that you can lock the cooler to keep people from taking you drinks or food. The metal carry handel is great, I loaded this up with half case of waters and two bags of ice and could carry it just fine with the ridgid handle on this cooler. I hate this will not keep ice any longer than it really can but facts are facts and I need a cooler that can at the very least keep ice for 4-5 days and 2 days is all you are getting out of this one unless I got a lemon. In closing I like the igloo cooler I got, super happy it's american made and super happy for it's over all look but it needs to keep ice longer. igloo send me one that's not a lemon please!",2,0,0.9459562302807308
11,9576,amazon,Igloo 24 qt IMX Lockable Insulated Ice Chest Injection Molded Cooler,94.99,Damaged and inferior product with no customer service,Wilson,"**** UPDATE****
I have returned both coolers and received refund for original cooler, but that was under warranty. Every single person I talked to at Igloo, assured me they would make this right! As of this date, they have not! I had to spend money with their carrier as they would not ship it back without repackaging the damaged product, which their shipper had damaged! I do not ask for the $100 in gas and time for two days travel because they sent damaged product twice, but did expect them refund the repackaged gift fee that they were making right but they have not and are ignoring any contact!

Igloo coolers, by far, has the worst customer service on the planet. The products I received were either inferior or damaged. Dont seem to care that returning each time is a day trip for me, a ton of gas and time as I am a homesteader living very outlying. These coolers are my refrigerator system for now so I have to be able to rely on them. Have also explained this and just say return again. And their solution is well give you 20% off your NEXT one! If these come damaged or not working am I buying another one? Im not sure how they have stayed in business this long with poor quality now and lack of customer service. Am returning, yet again, all products, again at my expense.",1,0,0.945436413326204
12,1908,Target,"LG 65"" Class 4K UHD 2160p Smart OLED TV - OLED65C3",1599.99,A Visual Feast: LG OLED Evo C3 83 Inch 4K Smart TV,imyoshio,"I recently upgraded my home entertainment system with the LG OLED Evo C3 83 Inch 4K Smart TV, and it has truly exceeded my expectations. This television is a visual masterpiece that delivers an unparalleled viewing experience. The picture quality on this OLED Evo C3 is nothing short of breathtaking. The 4K resolution combined with OLED technology brings colors to life in a way that I've never seen before. The contrast is stunning, with deep blacks and vibrant, true-to-life colors that make every scene pop. The addition of the Evo panel takes the viewing experience to the next level, offering even better brightness and clarity. The 83-inch screen size is perfect for creating a cinematic feel in my living room. Whether I'm watching movies, playing video games, or streaming my favorite TV shows, the immersive display draws me into the content, making me feel like I'm right in the middle of the action. The smart features of this TV are also top-notch. The webOS interface is user-friendly and responsive, making it easy to navigate through apps and settings. The built-in AI capabilities provide a personalized experience, learning my preferences over time and offering content suggestions that align with my interests. The audio quality is exceptional as well. The Dolby Atmos support creates a surround sound experience that enhances the overall immersion. I appreciate that the TV's audio is well-balanced, eliminating the need for external speakers. Connectivity options are abundant, and I love the convenience of having multiple HDMI ports, USB ports, and Bluetooth capabilities. Setting up my gaming console, soundbar, and other devices was a breeze. One of the standout features for me is the sleek design of the TV. The slim profile and minimal bezels give it a modern and sophisticated look that complements my home decor perfectly. In conclusion, the LG OLED Evo C3 83 Inch 4K Smart TV is a true flagship in the world of home entertainment. The stunning picture quality, smart features, and elegant design make it a worthwhile investment for anyone seeking a premium viewing experience. While it comes with a higher price tag, the visual feast it provides is absolutely worth every penny. I couldn't be happier with my purchase, and I highly recommend this TV to anyone who wants to take their home entertainment to new heights.",5,0,0.9450644018215182
13,9225,amazon,Mario Kart 8 Deluxe - US Version,39.99,"Too Easy, too busy, too chaotic",Bob,"After playing Mario Kart Wii for years and years and enjoying the challenge of unlocking courses and characters and karts, I was looking forward to the new version of the game on the Nintendo Switch (we skipped the Wii U). Kind of disappointed. There's seemingly little challengs, and most everything (tracks, characters, courses) is available right off the bat. You don't even have to push the 'gas pedal' anymore! You can literally set the control down and finish the race by letting it drive itself, and you may even finish in a good position. They tried too hard with the tracks to make them 'exciting'...instead some of them are just garish and chaotic and dizzying. MORE MORE MORE doesn't always mean a better game, and that's what happened here. It seems aimed at 5 year olds who always want to be a winner. If nothing else they should have put in more controls over the game parameters to make it even a little more challenging like the old Wii version which was vastly superior. If you want the numb sugar coated version, set it to that. If you want a game with a little challenge, set it to old school rules. If you loved Mario Kart Wii, this game will probably disappoint you and seem way to easy. If you never played that version before, then this one will proably just fine for you.",2,0,0.9381829434999337
14,414,amazon,"Razor MX350 Dirt Rocket Electric Motocross Off-Road Bike for Age 13+, Up to 30 Minutes Continuous Ride Time, 12"" Air-Filled Tires, Hand-Operated Rear Brake, Twist Grip Throttle, Chain-Driven Motor",279.0,spend all my time charging this thing!,Hope Daniel,"We bought this bike for our seven year old son. He weighs about 55 lbs. and he is just the right size. I really have a hard time believing that any 12 year old could ride and enjoy this-but you never know.The bike is just like it says-it is pretty sturdy and came as amazon said it would. The one and only drawback is the charge time for the one ride. The thing has to be charged for 8 hours for only 35 minutes of ride time. The ratio is a little off. By the time my son rides it in the morning, he has to charge it so long that the play day is gone. I saw that one guy charges his for only five hours-so I guess we will play around and see how much ride time we can get for a shorter time.Overall-if the ride time was longer this would be a pretty great bike. For the short 35 minutes he rides it, he LOVES it. We have only had it since Christmas, so I don't know about the other issues people say they are having with the tires, brakes and chains-to be honest, this was to see if our son could actually handle a real bike by next year.I don't highly reccommend it because of the short ride time/long charge time issue. If I could do it over again, I would probably buy a real bike and govern it down to a low speed.",3,0,0.9379763430173611
15,10842,amazon,"Best Choice Products Upholstered Sectional Sofa for Home, Apartment, Dorm, Bonus Room, Compact Spaces w/Chaise Lounge, 3-Seat, L-Shape Design, Reversible Ottoman Bench, 680lb Capacity - Blue/Gray",359.99,Wrong color part sent!,Vish,"First, its a beautiful couch. Easy assembly. Some of the cushions were wrinkled from shipping, but a steamer solved the problem (got this idea from other reviews). However, the couch is shipped in two boxes. Heres where it gets fun

I received two different colors. Collectively, it makes a full couch. However I paid extra for the tan color. One box contained tan pieces, which we ordered, the other contained gray. I (gullibly) didnt realize until after unpacking both boxes that the pieces were different colors. Living in NYC, I dragged this up five flights of stairs myself. After unpacking, theres no realistic way to fit the pieces back into the box it came in.

Its just pretty frustrating that I payed extra for a particular color, and even worse for the mix up of the boxes. The thought of having to find another box of appropriate size and printing a shipping label to return the pieces, amongst dragging it down five flights of stairs again, only to be left with half a couch (for who knows how long) is extremely unsettling.",2,0,0.9333592079207834
16,128,amazon,"HP DeskJet 2755e Wireless Color inkjet-printer, Print, scan, copy, Easy setup, Mobile printing, Best-for home, Instant Ink with HP+,white",49.89,OVERALL DO NOT BUY,Kyra Bussanich,"You get what you pay for. Or don't, in this case
I like that this is more compact and much lighter than my previous printer. It takes up less room, and when it decides to work, it prints quickly and well. It was also reasonably easy to set up for the first time.

I dislike that it stalls out printing and takes nearly 3 hours (with stops and starts and refreshing the job and canceling and reprinting) to actually print my documents and you have about 30 pages in black and white of printing before the ink runs out completely. I should have looked before I bought to note that it cannot print doublesided, and the gravity feed for the paper gets jammed easily and can only hold about 25 pages at a time. I used it for the first time today and could not complete my printing jobs because I have no more ink (it was literally making printing sounds and the pages were coming out completely blank.

I didn't keep the box because I foolishly thought this printer would be a viable option, or else I'd return it.",2,0,0.9214951509588359
17,56,amazon,"Renewed Samsung Galaxy S22 Ultra 512GB - 8K Camera, S Pen, Long Battery, Fast Processor, Phantom Black",619.5,Damaged edges and scratches on the screen,Gule,"I was really interested to have this phone but when I unbox and take a look, I noticed there are easily noticeable dents on the edges of the phone and one scratch in the center of the phone these are the defects which are not described or explained by the seller. Is so disappointed and unsatisfied with this phone purchase. The price I paid doesnt deserve for such a poor quality product. I undressed it is renewed phone but not this much hardware damage. I need a full refund or replacement as soon as possible because I am traveling by nex week. I tried to upload the picture of the defective parts of the phone I hope you can have a little hint from the picture since it is not clear enough I tried my best. I need you to resolve this issue immediately please. Thank you $740 for a damaged phone?? Really",2,0,0.9203282674241574
18,11325,Target,"Ninja Woodfire Pizza Oven, 8-in-1 Outdoor Oven, 5 Pizza Settings, Smoker, Ninja Woodfire Technology, Electric - OO101",399.99,Fantastic for making great pizza quick!,jackh,"[This review was collected as part of a promotion.] My family is really big on cooking, especially pizza. We used a traditional kitchen oven to create our pizzas, and while that was bearable, we were looking for an upgrade to our pizza game. This Ninja Woodfire Oven is quite literally my favorite pickup of the year so far. There's no way to really describe how different it makes them other than you'd have to see it for yourself. Temps go up to 700 F which is insanely hot for a consumer electric oven, cooks evenly and quickly, and brings our homemade foods like our pizzas to the next level. I attached a couple images with my review, the pictures of the pizza were first attempts at using the oven on the Neapolitan setting. They came out beautifully, and they tasted like they came from a restaurant. Getting the oven up to temperature doesn't take long at all, and it only takes a couple minutes to cook your pizza, no turns needed. We like our pizzas just a bit on the burnt side, so we left ours in for another minute (after 3 minutes), and made a great ""coal-fired"" style similar to what you would find at a pizza shop that uses extremely hot ovens. There's a variety of modes for any type of food that you'd want to cook, and also an area to add wood pellets to add a ""smoky"" flavor to whatever you want. We have been using this oven for the past week with no complaints or flaws that come in our way. It's very simple to use, comes with potential recipies to use with it, works and operates how you think it should, and is easy to move, so going to a friend's house for a backyard cook, or for storage, is easy to do. We plan on getting the stand and cover that's for purchase so we can keep it outside instead of bringing it in every time. Overall, I am extremely satisfied and very happy with this oven, and it brought my pizza-making skills to the next level with no effort.",5,0,0.9177598414779383
19,154,amazon,"HP DeskJet 2755e Wireless Color inkjet-printer, Print, scan, copy, Easy setup, Mobile printing, Best-for home, Instant Ink with HP+,white",49.89,I Have Printed As Many Pages As I've Had To Order Ink Cartridges,Nicholas Burnett,"This printer, and probably more printers from HP, are a scam for ink. I have printed literally 10 things (documents, usually black and white, 1 to 4 pages) and have had to order an new ink cartridge every time just to get it to work.

And why do I call this a scam instead of broken? Because everything else works. But the ink runs out or dies so fast I'm forced to by a new cartridge after nearly every print. I will admit that I use this printer (or have a need to print) only once or twice a month...but its ridiculous that the cartridges become self destructive in that time. When I was in my teens our ink cartridges would last years. This printer offers me nothing so great as to need it any more than the printer I had in my youth. This is utter planned obsolescence.",1,0,0.9165688810519393
20,8614,bestbuy,"Ninja - Woodfire Pizza Oven, 8-in-1 Outdoor Oven, 5 Pizza Settings, 700°F, Smoker, Woodfire Technology, Electric - Terracotta Red",349.99,Best sequel to the best game,AaronE,"Star Wars Jedi Survivor is an absolute gem of a game, delivering an immersive and thrilling experience set in the beloved Star Wars universe. From the moment I embarked on my Jedi journey, I was captivated by the stunning visuals, engaging gameplay, and a compelling storyline that kept me hooked till the very end.

The graphics in Jedi Survivor are nothing short of breathtaking. Every planet, spaceship, and character is beautifully rendered, transporting players into a galaxy far, far away. The attention to detail is remarkable, allowing players to truly feel like they are a part of the Star Wars universe.

The gameplay mechanics are smooth and intuitive, making lightsaber combat and force abilities a joy to master. As a Jedi survivor navigating a hostile galaxy, I encountered a variety of enemies and challenges, each requiring strategic thinking and precise execution. The combat system strikes the perfect balance between accessibility and depth, ensuring a satisfying experience for both casual and hardcore gamers.

What truly sets Jedi Survivor apart is its engrossing storyline. The game expertly weaves together elements of exploration, character development, and heart-pounding action. As I progressed through the game, I faced moral dilemmas, forged alliances, and unearthed hidden secrets, all while unraveling a narrative filled with twists and turns. The rich lore of the Star Wars universe is skillfully integrated, offering a fresh perspective on the Jedi mythos.

Furthermore, the voice acting and sound design in Jedi Survivor are top-notch, adding an extra layer of immersion. The iconic sound effects, familiar music, and authentic voice performances bring the Star Wars universe to life, evoking a sense of nostalgia and excitement that fans of the franchise will truly appreciate.

The game's replay value is remarkable, with multiple endings and branching paths that encourage exploration and experimentation. I found myself eagerly diving back into the game, eager to uncover hidden secrets and make different choices that would shape the outcome of my Jedi survivor's journey.

In conclusion, Star Wars Jedi Survivor is an exceptional addition to the Star Wars gaming catalog. With its stunning visuals, captivating gameplay, compelling storyline, and immersive audio, it delivers an unforgettable experience for fans and newcomers alike. Whether you're a die-hard Star Wars enthusiast or simply someone seeking a thrilling adventure, Jedi Survivor is an absolute must-play. This game truly deserves five stars and will undoubtedly leave you yearning for more incredible adventures in a galaxy far, far away. May the Force be with you!",5,0,0.9149616500847618
